date,state,entity,action,scope,driver_stated,source_url
2018-11-08,CA,Camp Fire (catastrophe event),Catastrophe event,Butte County; deadliest/most destructive CA wildfire to that date; CA FAIR Plan statewide risk exposure ~$50B at the time,N/A - loss event. Cited by CA FAIR Plan as the reference point for its exposure growth,https://ains.assembly.ca.gov/system/files/2025-05/assembly-fair-plan-hearing-deck-5.28.25.pdf
2019-01-01,CA,California FAIR Plan,Residual market growth inflection,Residential PIF 140447 (2018) -> 189790 (2019); new business 23049 -> 75247,Voluntary-market non-renewals after 2017-2018 wildfires; CDI-reported insurer-initiated non-renewals in top-10 wildfire counties rose 5940 (2018) -> 18098 (2019),https://www.insurance.ca.gov/0400-news/0100-press-releases/2021/upload/nr117DataNon-RenewalsandFAIRPlan12202021.pdf
2020-01-01,FL,Windhaven Insurance,Insolvency,Florida homeowners,Insolvency; FIGA-handled. Underlying driver reported as litigation/AOB loss cost inflation rather than a single catastrophe,https://figafacts.com/category/insolvency/
2020-08-27,LA,Hurricane Laura (catastrophe event),Catastrophe event,Louisiana; 177691 claims all lines; $7.4B paid losses,N/A - loss event,https://app.lla.state.la.us/publicreports.nsf/0/9d5c25a709f476a3862588da005c6930/$file/000283c0.pdf
2021-01-01,LA,Louisiana Citizens,Residual market growth baseline,35670 policies; $6.7B total insured value (January 2021),Baseline before the 2020-21 hurricane sequence,https://app.lla.state.la.us/publicreports.nsf/0/9d5c25a709f476a3862588da005c6930/$file/000283c0.pdf
2021-01-01,CA,Chubb,Reduced new business / non-renewals,High-value California homeowners (wildfire-exposed),Wildfire risk and California insurance regulation (secondary reporting; Chubb has not published a dated CA withdrawal notice),https://www.foxbusiness.com/lifestyle/california-insurance-crisis-here-carriers-have-fled-reduced-coverage-state
2021-08-29,LA,Hurricane Ida (catastrophe event),Catastrophe event,Louisiana; 460709 claims all lines; $9.8B paid losses,N/A - loss event. Louisiana Legislative Auditor attributes 6 of 11 subsequent insolvencies directly to inadequate Ida reinsurance,https://app.lla.state.la.us/publicreports.nsf/0/9d5c25a709f476a3862588da005c6930/$file/000283c0.pdf
2021-10-01,US,FEMA / NFIP,Rate methodology change,"Risk Rating 2.0 begins: new policies from 2021-10-01, renewals from 2022-04-01; increases capped at 18%/yr by 42 U.S.C. 4015(e)",Actuarial soundness; move from zone-based to property-specific full-risk rating,https://www.gao.gov/assets/gao-23-105977.pdf
2021-12-30,CO,Marshall Fire (catastrophe event),Catastrophe event,Boulder County CO; costliest wildfire in Colorado history,N/A - loss event; precipitated Colorado availability pressure and HB23-1288,https://doi.colorado.gov/homeowners-hoainsurancetoolkit
2022-01-01,CA,Allstate,Stopped writing new business,New California homeowners policies (paused during 2022; not publicly disclosed until June 2023),"Cost to insure new home customers ""far higher than the price they would pay ... due to wildfires, higher costs for repairing homes, and higher reinsurance premiums""; spokesperson added it is ""unable to quickly adjust prices due to state regulations""",https://www.insurancebusinessmag.com/us/news/breaking-news/allstate-stops-issuing-new-homeowners-insurance-policies-in-california-448162.aspx
